id,type,path,recorded_by,date,notes
ff275abd-2ae3-4dc8-b358-211b759bfd92,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/ff275abd-2ae3-4dc8-b358-211b759bfd92.wav,,,
2791972b-999e-4663-81a2-5ba5b9fd4bde,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/2791972b-999e-4663-81a2-5ba5b9fd4bde.wav,,,
de21de3d-fb34-4267-b7d3-9b0e5e3212d6,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/de21de3d-fb34-4267-b7d3-9b0e5e3212d6.wav,,,
e2e04eb6-2ffa-4860-8151-af524d840b2c,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/e2e04eb6-2ffa-4860-8151-af524d840b2c.wav,,,
0fe7a5c2-fe23-46ef-9c93-5fb8da387a9b,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/0fe7a5c2-fe23-46ef-9c93-5fb8da387a9b.wav,,,
668f41a2-1d32-4d85-83f7-5724b26913ee,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/668f41a2-1d32-4d85-83f7-5724b26913ee.wav,,,
b3977999-cc01-4539-b700-c0ab1c0bae5d,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/b3977999-cc01-4539-b700-c0ab1c0bae5d.wav,,,
57066a97-d034-4508-af16-6fac51f24b60,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/57066a97-d034-4508-af16-6fac51f24b60.wav,,,
1630b845-8673-43bc-8b6a-4c0dec605b5f,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/1630b845-8673-43bc-8b6a-4c0dec605b5f.wav,,,
895358be-0c2f-4b8f-a4eb-6b801fb2e653,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/895358be-0c2f-4b8f-a4eb-6b801fb2e653.wav,,,
7aba6775-2faa-4495-aaa3-6a68256c5d24,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/7aba6775-2faa-4495-aaa3-6a68256c5d24.wav,,,
cc61c821-c096-4f6a-b2d9-1ee8cd5f7c21,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/cc61c821-c096-4f6a-b2d9-1ee8cd5f7c21.wav,,,
bf3035ef-7147-4a18-89df-172fdca6cbf0,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/bf3035ef-7147-4a18-89df-172fdca6cbf0.wav,,,
ec71f851-7141-43df-a3d2-a7c384777fe2,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/ec71f851-7141-43df-a3d2-a7c384777fe2.wav,,,
04794cea-76c7-4c13-9321-2ade308429d8,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/04794cea-76c7-4c13-9321-2ade308429d8.wav,,,
4f66bb94-a343-4dc3-97dc-6df8b06bcf37,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/4f66bb94-a343-4dc3-97dc-6df8b06bcf37.wav,,,
2e4349ea-26dc-4c27-9c60-d7d3a3a5d9a9,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/2e4349ea-26dc-4c27-9c60-d7d3a3a5d9a9.wav,,,
caca6f4e-0975-4729-9212-057bde3c7259,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/caca6f4e-0975-4729-9212-057bde3c7259.wav,,,
503e497f-db47-4a72-81d7-bd57ee217447,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/503e497f-db47-4a72-81d7-bd57ee217447.wav,,,
03bff4d8-7243-48e5-845f-2999ed46ab33,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/03bff4d8-7243-48e5-845f-2999ed46ab33.wav,,,
7b06e5ea-9f5f-4979-979e-d92b0f8fc1a2,word,c:/Users/94772/Desktop/Adaptive Audio-Based Therapeutic System for Post-Linguistic Hearing Loss Enhancing Emergency and Noisy-Environment Speech Comprehension-Test1/EarDisableResearch/Models/Data/audio/words/7b06e5ea-9f5f-4979-979e-d92b0f8fc1a2.wav,,,
